Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-11,Shame,1968,https://boxd.it/5iPczL,5,,"What a powerful depiction of cowardice, but is it really cowardice? Would you do the same?

Hollywood has always depicted the role of men as protectors, as the physically & emotionally strong, as the ones that should stand for what they love & care about, as the ones that should stop the aggressor and protect the assaulted. The strength in men has always been thought of as a given variable.

But what would happen if a horrible war burst out and suddenly you had a fully-fledged armed militia standing at your doorstep, threatening your wife & everything you love? Are you equipped with the tools required to face real-life monsters? What would you do? Would you become the protector, or the abused? Would you protect your wife over your own life? Would your human relations endure after the conflict is over?

Shame puts that to the test, and it does it better than any movie I've ever seen.

Bergman certainly knew a lot about the human experience. He was, after all, a genius.",,2021-07-03
2023-12-11,The Great Beauty,2013,https://boxd.it/5iPcAf,5,,"Hands down my favorite film up until now.

Since I read In Search of Lost Time, I'm always looking for Proustian-like art, where there's nostalgia mixed with a sense of absolute & almost immaculate beauty.

This film captures that like no other.

5/5",,2021-07-03
2023-12-11,Come and See,1985,https://boxd.it/5iPcAT,5,,"Before this film I think I somewhat ""knew"" what happened in war as depicted by the thousands of films, documentaries & books out there. Turns out I hadn't the slightest idea.

This for me is the single best anti-war film ever made, and one of the best films ever made, period. It's also the most disturbing film I've seen, and not because of the sheer visceral scenes, or the awful depiction of genocide, or the kids turning into old people in a matter of days, or the depiction of despair, or the slow decline to madness, or the perpetual sound of bombers buzzing in the sky, or the fact that soldiers were not soldiers anymore, they were animals.

No no, what makes this film powerful is the fact that it's real. You feel like you're there, with Flyora & Olga, watching them suffer the absolute worst hell imaginable, being complicit in some way. And the only thing you can do is keep watching, hoping that the next scene will offer some kind of  comfort, but it doesn't, it never does.

This is what makes a good anti-war movie. It's the one that traumatizes your senses and breaks your heart, as if you were there, watching. The one that will offer no comfort, no heroes, no victory, no nothing. The only thing left in war is suffering and death.

Come and see what a beautifully devastating piece of art this is.",,2021-07-03
2023-12-11,Belle de Jour,1967,https://boxd.it/5iPcC1,5,,"Luis Buñuel, the de-facto provocateur with a wit many people could only wish to have, always looking to confront his own audience. And who would fit Belle better than Catherine Deneuve? Absolutely no one. This was a match made to be.

I genuinely felt like I was watching something that I should not watch throughout the entire film, even though it's not ""evil enough"" in today's standards.

This film is what happens when one of the most beautiful & talented actresses ever known to mankind meets the master of provocation. A dangerous, explosive mixture that has influenced thousands of creative pieces.

5/5",,2021-06-21
2023-12-22,Anatomy of a Fall,2023,https://boxd.it/5mTe7D,4.5,,"This is a movie that:
- Has complete trust on the public: It never underestimates its audience.
- Does not rush on conclusions: It takes its time for the pieces to slowly & painfully fall into place.
- Has complete trust on its actors: This movie can be though of a discourse of people (you, me, everyone else) vs. Sandra Voyter.
- Gives the audience complete power: To become part of the jury in the most realistic way possible. We never see more than we should. We don't actually fully know the main characters, and never will.
- Is not looking to solve a murder mystery as the main plot point: Instead, it focuses on showing how complex the human nature can be.
- Is extremely ambiguous: There's no black nor white. There's simply a vast palette colors in between.
- Does not hurry to take sides: In fact, it never takes sides. Characters are not hated nor loved.

In short:
- This is a masterful movie that plays with the fact that we'll never know another person fully.

Rating:
9.5/10",,2023-12-19
2023-12-22,The Exterminating Angel,1962,https://boxd.it/5mTegv,5,,"Yes, it's that fucking good. Now go watch it.",,2023-12-18
2023-12-22,mother!,2017,https://boxd.it/5mTegF,5,,"This review is based on my own interpretation of this film. When I read Aronofsky's explanation, I was not satisfied; in fact, I think I hated it; I found it too reductionist and too much of a cautionary tale; as if Greta Thunberg had a bad acid trip, got pissed off, and decided to make a movie about it. No thanks.

Instead, I think that this masterful film has the capacity to be interpreted in multiple ways, and that's what always matters when consuming art.

This is a movie that:
- Is anxiety inducing: I actually read a review about someone having a panic attack at the middle of the movie, and yes, I can absolutely relate. The entire movie feels like you took too much Adderall and know how bad you fucked up without being able to throw it up. It escalates and escalates to the point of absolute madness.
- Does feel like a bad acid trip, mixed with the worst nightmare you'll ever have: It's transgressive, confusing, weird, and many scenes will not make sense without Aronofsky's explanation, which I think even gives it an edge?
- Does not hold back: It's brutal & explicit to the point of being unbearable to watch in many instances.
- It's uncomfortable, extremely uncomfortable: Mainly for our main character, which literally and metaphorically gets consumed without her being able to take any kind of control over anything (her house, her husband, the people).

In short:
- This is a masterful movie that shows how love is an asset. Sometimes people give love, sometimes people need love, but sometimes people desperately need love and take it by force.

Rating:
10/10",,2023-12-18
2023-12-22,Persona,1966,https://boxd.it/5mTert,5,,"I still remember Bergman's Persona as if it was the day I watched it. I also remember very well that after seeing it, I understood that I really knew nothing about cinema, and I chuckled a bit, since I had discovered something new, but had also lost so much time watching trash.

Ingmar Bergman, the great humanist genius that we all need, but few know we do.",,2023-12-16
2023-12-22,La Dolce Vita,1960,https://boxd.it/5mTfcJ,4.5,,"This was the first B&W I saw. Honestly at first it seemed too slow (or too old maybe). But then, I let it marinate. This was the film that opened my mind.",,2023-12-10
2023-12-22,The Choice,2016,https://boxd.it/5mTfcT,2.5,,"I find Mrs. Palmer highly attractive, and the whole sexual tension game is crafted well on this one. That plus the various plot twists made this romance drama be slightly above all the other bullshit out there.

2.5/5",,2023-12-10
2023-12-24,I Saw the Devil,2010,https://boxd.it/5nTFrT,5,,"Anger is the first stage of grief, and where we, normal people, get through it by taking therapy, Kim Soo-hyeon goes hunting, methodically & quietly and then he does it again, and again, watching horrible things, meeting horrible people, as we painfully watch how he slowly looses his own humanity.

Up to the first quarter, the plot is similar to other revenge movies, where there is a gruesome act perpetrated by a sicko and a counterpart in grief who decides to take matters into his own hands. But then, things take a different turn, and boy it gets extreme to the point of making Taken and every other Hollywood revenge film look like an absolute child’s play.

South Koreans do know how to craft anxiety-inducing thrillers filled with the most disturbing sequences, hell they’re experts at the thing.

This is an absolute masterpiece of the genre.",,2023-12-23
2023-12-25,Decision to Leave,2022,https://boxd.it/5o77gl,4,,"Beautiful cinematography, astounding sound design, impecable acting.

Decision to Leave left me with a feeling of sadness & nostalgia. The feeling of ultimately not being able to be with someone, despite living all these unique, beautiful & secret experiences together.

Excellent work.",,2023-12-24
2023-12-25,Youth,2015,https://boxd.it/5o7xd3,5,,"This is the only film that has made me helplessly sob like a 5 year old.

What a closing scene. I still listen to Simple Song #3 sometimes, and can immediately see Sumi Jo, Michael Caine & Paul Dano’s expressions, like a beautiful Botticelli oil painting.",,2023-12-24
2023-12-25,Portrait of a Lady on Fire,2019,https://boxd.it/5oazMP,5,,"<blockquote><i>Perhaps he makes a choice.</i>
<i>What choice?</i>
<i>He chooses the memory of her. That’s why she returns.</i>
<i>He doesn’t make the lover’s choice but the poet’s.</i>
<i>Perhaps she was the one who said, turn around.</i></blockquote><i>
</i>
Beautiful, beautiful, beautiful, beautiful, beautifully erotic, beautifully sensual, beautifully seductive, beautifully contemplative, beautifully passionate, beautifully delicate, beautifully breathtaking, beautifully sad, beautifully piercing, beautifully ravishing, beautifully devastating, beautifully real, painfully real.


If you have not seen this movie, watch it, right now.

Edit: I thought of this movie the entire day. It’s like an aging wine, getting better by the minute.

5/5",,2023-12-24
2023-12-25,The Wailing,2016,https://boxd.it/5onLgd,4,,This is how horror movies should be made.,,2023-12-24
2023-12-25,Sanctuary,2022,https://boxd.it/5oodS5,2,,"The plot is interesting, and the idea behind it has some value, but fuck this movie is so full of itself it pisses me off.

Also, I genuinely hate Margaret Qualley. Can’t stand her expressions, her voice, her childlike & quasi-seductress behavior, her psychotic breaks. I simply cannot stand her, she’s so annoying, and she does this in many of her roles. And hey, I do love these types of performances (Mia Goth is the best example here) but Qualley simply doesn’t do it for me.

Shame about Christopher Abbott tho, I think he’s great.",,2023-12-24
2023-12-25,The Royal Tenenbaums,2001,https://boxd.it/5ooCeT,4,,So good.,,2023-12-24
2023-12-25,Train to Busan,2016,https://boxd.it/5opdlH,2,,Sorry but I don’t get it. Might give it another chance in the not so near future.,,2023-12-24
2023-12-25,Death on the Nile,2022,https://boxd.it/5opesf,2,,What a waste of time.,,2023-12-24
2023-12-25,No One Will Save You,2023,https://boxd.it/5opgnr,2,,"Some scenes deserve merit but hell, this was so underwhelming. Maybe I was expecting too much.",,2023-12-24
2023-12-26,Leviathan,2014,https://boxd.it/5oD8uH,4.5,,"<blockquote><i>Can you pull in Leviathan with a fishhook, or tie down its tongue with a rope? Will it keep begging you for mercy? Will it speak to you with gentle words? Nothing on Earth is its equal. It is king over all that are proud.</i></blockquote>Had not seen a great Russian director like this since Tarkovsky. Russia has always been a land of brilliant artists with a lot to say.

Excellent at depicting realism in the countryside<b>. </b>The quiet life, the Shashliks, the Vodka, target-shooting in the fields, the old trucks, the passionate characters, all very reminiscent of some of the most memorable characters from classic Russian literature.

But the the countryside is also a place where local government is omnipotent and human rights are quietly dissolved to the point of reducing human beings to mere obstacles. The countryside that is also a beautiful place, where vast fields and lakes are covered by dense fog.

And Russia, a country where the church and the government are welded together, where the divine power of God is brought upon by people, and the fates of those succumbing under such weight is justifiable. Russia, a country that has not been able to escape its past.

Excellent film.",,2023-12-25
2023-12-26,Incendies,2010,https://boxd.it/5oHv4l,4.5,,"<blockquote><i>1 + 1 = 1</i></blockquote>Incendies tells us many things: it’s a story about consequences, about regrets, about war, about love. But overall, Incendies reminds us that we might not fully know what our ancestors lived in order for us to be here, alive.

What a powerful piece, but be advised it hits very hard, specially in the current sociopolitical context.

Don’t watch any reviews since the slightest comment might spoil the entire thing; this movie counts on the audience going in blind, since that’s where part of the huge blow comes from.

Excellent, heartbreaking, breathtaking film.",,2023-12-25
2023-12-27,I Know This Much Is True,2020,https://boxd.it/5pgQap,5,,"This is the single most real depiction of mental illness & tragedy I've seen, period. It's heart-wrenching, and does not let go. I came out of this miniseries a different person.

And the best thing is, it watches like a piece of literary mastery; for those familiar with East of Eden, The Bell Jar, etc, this is extremely close in atmosphere & narrative form.

And it does not end there because The Gulag Archipelago is actually referenced (if I remember correctly, Dominick was reading it); all that suffering, all that tragedy and for what? What type of God would let this happen? Who is God? Well, as Dominick put it, God is in all of us. God is in the people. So much resemblance to Solzhenitsyn & even Dostoievsky.

Thanks Wally Lamb, Derek Cianfrance, Mark Ruffalo, Harold Budd, & Beach House for this mesmerizing experience. This was a gift to humanity.

Hey, I still don't know how Ruffalo (or anyone) could manage to perform this role, but he did it, and he's awesome.",,2023-12-26
2023-12-27,The New Pope,2020,https://boxd.it/5ph3Kl,5,,"Still remember the first time I saw The New Pope. I actually saw this first, and The Young Pope second. And oh God, what a masterpiece.

This left me thinking a lot. It was also the show in which I've laughed the most I think. It stings and has Sorrentino's stamp all over it. What a gifted director he is.

If you love Sorrentino and have not watched it, please watch it.",,2023-12-26
2023-12-27,Oldboy,2003,https://boxd.it/5pzzzF,4,,"I went into Oldboy absolutely blind, with a totally different expectation of what this was going to be about. And up to the halfway mark, I still thought I was in for something similar to <i>I Saw the Devil</i>.

But then it hit me, and yeah that twist was excellent. However…I gotta be honest; the shock was not as dense since watching a similar film (<i>plot-twist wise</i>) just some days ago implanted a strong suggestion of what would happen, and also helped smooth the shock of the awful scene at the end, but it was still one of the best and saddest plot twists I’ve ever seen.

The sheer despair of Dae-su to the point of cutting his own tongue made it one of the darkest comical scenes I’ve seen. Really masterful acting here.

Shame I saw an equally-brilliant movie with a similar twist so recently.",,2023-12-26
2023-12-27,Sick of Myself,2022,https://boxd.it/5pDu75,4.5,,"So you know when you watch a horror film and your fingers are covering your eyes 90% of the time? Well, I had my fingers covering my eyes 90% of the time, and not because of the horror.

So, hmm, what is it? What do I smell here? Initially I smell a lot of politeness, Champagne & expensive wine, art exhibitions, signature cuisine, politically-correct talks, everything seems very nice until…what’s that smell…something reeking from below, waiting to blow-up, the shit accelerating, slowly, waiting to hit the fan, and when it hits, it hits hard, and splashes everyone on sight. And everyone shrieks in disgust, yelling that they never asked for this, that the shit is not theirs, too dirty, and that this mess should be cleaned asap. But it’s already too late, the damage is done, everyone has been splashed one way or another, everyone now carries a tiny bit of shit.

Ohh yeah, I know what I smell now! It’s Ruben Östlund! But on steroids, with a touch of Ducournau’s Raw as dressing, and with a distinct nihilistic slap in the face. 

Yes, that’s it. Scandinavian cinema has a very clinically-cold, raw, hilariously-dark & effective way of illustrating double standards. So much so that it can become disgusting & almost unbearable, but this is what makes it effective, what makes it hit so hard. The slap in the face the Östlund way.

Excellent film. So awkward it’s painful to watch.",,2023-12-26
2023-12-28,A Separation,2011,https://boxd.it/5qcAwl,4.5,,"I recently had the pleasure of collaborating with an Iranian coworker. She used to tell me stories of how beautiful & kind Iranian people were, and how her country had changed so much since Ayatollah took power in the late 70s, how Iran “was not what it used to be anymore”.

Around that same time I was actually watching <a href=""https://www.rottentomatoes.com/tv/tehran"" rel=""nofollow"">Tehran</a> (<i>the plot was ok but what really kept me going was the cultural context, the performances and the beautiful Farsi</i>).

During <i>A Separation</i>, I was once again transported to the Iranian culture, and was once again exposed to the language & the people. And boy how I missed it.

Anyhow, A Separation is the perfect example of how complex things can get with regards to interpersonal relations and human interaction. It shows that there’s hardly ever black & white, but a palette of thousands of shades in between. And also, that we don’t know what the person we just met might be going through.

There’s a strong discussion on pride and what it means to be responsible for a family; when does a decision start serving our own interests, and harms the interests of our loved ones? How can we balance our inner weaknesses in a way that we’re still faithful to our beliefs, but can protect the ones we love? Why is accepting that we were wrong so difficult sometimes? What differentiates a humble person from a proud person?

<i>A Separation</i> explores all of these questions and many more facets of what it means to be human, and it does so in a very realistic & raw way. It watches more as a documentary than a movie.

Excellent film.",,2023-12-27
2023-12-30,Mommy,2014,https://boxd.it/5rhp0n,5,,"<blockquote><i>Feet don't fail me now</i>
<i>Take me to the finish line</i>
<i>Oh, my heart it breaks every step that I take</i>
<i>But I'm hoping that the gates, they'll tell me that you're mine</i></blockquote>
Funny how we see Steve quickly losing control multiple times, yet that final scene made me loose control in less than 5 secs.

Wow, this film was…incredibly accurate.

I know a couple of people with fairly strong cases of ADHD accompanied by other conditions, and its depiction in Mommy is spot on.

The first acquaintance is a distant cousin whom I’ve only seen 3 - 4 times when we went on family vacation, and he had pretty a unmanageable case of ADHD along with other personality disorders <i>(his family never explicitly told us, but we knew it wasn’t just that)</i>.

I remember very clearly how he treated his mother and siblings, and how his mother, regardless of her already being an expert in managing his behavior, still struggled a lot when he lashed; it was really painful to see because you could physically notice the toll this had already had on his older brothers.

He was extremely harsh with how he talked to people, very stubborn, and also very sexually & emotionally impulsive. It was like the part of his brain in charge of moderating impulsive behavior & fine motor coordination had gone completely off. One minute he would be doing sand castles and the other he would get naked and start randomly insulting people walking in the beach. Being with him was like waiting for a thunderstorm without knowing when and how it would hit, nor when would it end.

On top of this, he also got hyper fixated with very specific things; he would not let go until he got what he wanted or something more interesting grabbed his attention.

We don’t keep in touch, but I sometimes hear about how his family has invested practically their entire life to looking after him and making sure he can live a somewhat normal life. Thank God they have financial means to sustain his needs; otherwise I could not imagine how much difficult it would be for them.

Unfortunately, I never got to know the other face of the coin; I never knew how he was like when he was loving, caring & empathetic with other people, something Mommy beautifully & brilliantly displays in multiple occasions.

I have a somewhat limited experience on interacting with people having severe behavior disorders, but I gotta say this movie is extremely accurate at portraying what I saw with my cousin; literally the smallest of the details is there, and it’s really chilling & difficult to see. I cannot imagine the impact this would have on someone more familiar with the condition.

So, final thoughts? For starters, that aspect ratio change is one of the most powerful & original editing techniques I’ve ever seen. Also, those last 30 mins are some of the most painful I’ve ever experienced in cinema. But that final scene…that final fucking scene is on fire; it’ll stay in my memory & will be cherished in my heart forever, as one of the most beautiful depictions of the human experience.

Xavier Dolan, you are an absolute genius.",,2023-12-29
2024-02-04,Red Rooms,2023,https://boxd.it/5KWoB1,4,,"This film will linger in my mind for some time, that I’m sure. Why? Because it feels so real; it has a documentary-like feeling that showcases not only how devastating heinous acts can be for the immediately-related, but also how incredibly obsessive certain people (the fanbase) can become when talking about brutal violence.

And even though the movie never shows explicit scenes, the visceral reactions of the involved / jury / family / judge are enough to provide some gut-wrenching moments, much more powerful than those much more explicit from other movies.

This film really feels like watching something we’re not supposed to be watching, as if we were all Kelly-Annes in a way.",,2024-02-03
2024-02-04,The Worst Person in the World,2021,https://boxd.it/5L1vJB,4,,"The mad angst of needing to have everything figured out at 30, 35, 40 years in a world with “infinite possibilities” juxtaposed with the olympic fuck-it attitude where one thinks…what’s the point? Do I really care? Fuck children I don’t want them, fuck life I don’t want it, or do I?

A painful and at the same time relieving film that shows that in the end, we’re all the worst persons in the world at times, because things are relative, and we’re constantly changing.",,2024-02-03
2024-02-05,Beau Is Afraid,2023,https://boxd.it/5LdBiP,4,,This is what living with extreme anxiety feels like.,,2024-02-04
2024-02-06,A Woman Under the Influence,1974,https://boxd.it/5M1aSr,4,,"<blockquote>
<i>Would you stand by me Dad?</i></blockquote>
Just…heartbreaking stuff.

This is my first Cassavetes and I really enjoyed it; it’s funny how we sometimes complain about the lack of empathy for mental illness today, when back then things were as they were. So little understanding of how much a person could suffer.

It’s brilliant how Cassavetes clearly understood this, and portrayed it as perfect and sad as in this film. He understood that people thought of mental illness as something wrong that had a practical solution -> just get some rest and you’ll be fine, you’re most likely very tired, that’s all.

For anyone that has dealt with any type of mental illness, this will most definitely sound familiar and make you shed a tear or two.",,2024-02-05
2024-02-13,The Curse,2023,https://boxd.it/5OPqZB,5,,"Jonathan Franzen meets Kafka meets Cassavetes?

The Curse is the ultimate portrait of the abrasive nature of us millennials and how we try to “change things” when no one asked us to do so. This necessity of colonizing, of getting there first, of reinventing the wheel over and over again because fuck it, it’s not to my liking? Who cares what other people think about it (Elon Musk and friends can take note here).

The Curse is also a show that depicts (very brutally) what happens when we humans try to constantly live in our own reality and things go haywire. It talks a lot about the perception we have about ourselves and other people, the biases we can have, and the awful consequences of losing track of ourselves and start living in our <i>whitneyverse</i>.

This is also a show where all 3 main characters are despicable, sad, pitiful and dangerously relatable, where 95% of the sequences are extremely uncomfortable, and where nothing is what it seems.

It's also (very interestingly) one of the most disturbing shows I've watched? The Curse genuinely made me feel sick in a way that's very difficult to describe. It has this very heavy emotional energy that almost drags you to the floor with it, and the characters feel it as well; they're conscious that they're living in a nightmare, and a very real one; hell, they don’t even understand what they’re getting into due to their loss of self-consciousness.

The performances are something out of this world; Nathan Fielder has got to be one of the most (if not the most) talented comedians I've had the pleasure to watch; thank God I still have his two other shows left to binge. Benny Safdie's direction and performance blew me away (this is my first approach to him), and Emma Stone is now one of my favorite contemporary actresses, pushing the limits of what can be done.

The soundtrack works as an integral part of the story, but never do we know which emotions should we be feeling or why; we simply feel (a lot) during The Curse. The sound works on an almost subconscious level; genius stuff.

Overall a brilliant show, although it can be a lot sometimes; I found myself peeking through my sweater multiple times.

As it was brilliantly put in <a href=""https://youtu.be/7pOAQKY7qvc?si=DDcaltZjNs9p6IDt"" rel=""nofollow"">this review</a>, I think The Curse is still too close to the bone and will not be fully appreciated or understood for at least some years. There are  still “too many Whitneys out there”.

10/10 without any reservation whatsoever. Just a perfect show.",,2024-02-12
2024-11-10,The Substance,2024,https://boxd.it/7LHked,1,,"The film starts with a powerful-enough kick, presenting a premise that is obviously very Dorian Grey-esque. The entire atmosphere is highly inspired off of Cronenbergs’ (both David & Brandon) works, gives strong hints of Italian Giallo pioneers such as Argento, and is even pulling bits & pieces from Ducournau’s Titane. Body horror is definitely there from the start, and keeps getting more intense as we progress throughout the story. Even the body transformation sequences are taken basically bit by bit from Possessor / Infinity Pool, but the quality is much more underwhelming here.

Unfortunately, everything starts falling apart around the half mark. The premise is stretched and stretched until there is not much “Substance” left; one can see the exact moment the writer runs out of ideas. The rhythm feels scattered, convoluted, out of focus, and overall absent of clear direction. I see the intent, it’s there, but the execution is extremely dire, specially during the last hour or so.

This feels like a mishmash of a bunch of master film makers, taking influences from left to right without being careful or elegant about it. The result is…an abomination. The director needs to gain expertise before compromising an unapologetic piece such as this one. <a href=""https://letterboxd.com/film/sick-of-myself/"" rel=""nofollow"">Sick of Myself</a> by Borgli managed an abysmally better job at everything with probably way less than half the budget.

Now onto Margaret Qualley. This is the second movie from her I’ve seen recently that leaves a very bad taste, as if she’s trying too hard, as if she’s really not that good of an actress and the only reason why she’s there is her physique and (maybe) her Mia Goth-like capacities of playing psychotic outbursts (and even then she seems to be trying too hard…Mia blows her out of the water any time). Ironically, this role almost fits her well. There’s something desperate about her, something underdeveloped. Maybe she just needs more time, but I won’t be watching any more of her soon. I’ve had enough for now.

I’ll be very frank; by the end I just fucking hated this movie to the guts, however the first 30 minutes hooked me enough to give it at least a star, plus some of the effects are good, and Demi Moore has some good bits as well.


If you’re wondering if you should watch this, watch some Cronenbergs first.

1/5",,2024-11-09
2024-11-10,Late Night with the Devil,2023,https://boxd.it/7LMJTP,3.5,,"Good one. Fresh take on horror, filled with unexpected bits & pieces, terrifying at times, specially around the first half. Throughout the entire movie you get the sense that something’s wrong, that you should not be watching. There are definitely some stretches towards the second half, but the directors accomplished a very respectable piece altogether. IFC Midnight rarely misses when it comes to the state of the art in contemporary horror; they’re just the best along with Shudder & A24.

Well done. I’ll be sure to watch more of Dastmalchian whenever he gets into more serious acting. He absolutely broke a leg here.

3.5/5",,2024-11-10
2024-11-11,How to Have Sex,2023,https://boxd.it/7MlIXV,3.5,,"<blockquote>“You don’t have to be so strong.”</blockquote>

I was getting increasingly pissed at everyone as time slowly passed by on this one, but then I remembered how teenage years were for me, and how <b>at 15 you know absolutely nothing, but you think you know everything</b>.

At 15 you’re a kid, yet you have the entire world weighting in at your shoulders, or at least that’s how it feels. You do so much reckless bullshit you can loose your innocence so quickly you don’t even see it coming. You put your body through so much stress, physically and mentally, it’s insane. So much energy, so many emotions, like a nuclear bomb waiting to go off.

It was heartbreaking to see how the girls and boys alike went all in, believing to their core that they would have the best time of their lives just because that’s the way it’s supposed to be, plus hormones are raging throughout your entire body at that age. They dived in so valiantly to the experience, thinking they would have the best time, thinking they were living through debauchery like little grown ups, that they could handle anything.

Turns out <b>at 15 you know nothing, yet you think you know everything. </b>It’s gut wrenching how you can literally see it in their faces, how they don’t even know how to react when stuff happens. They feel strongly yet they don’t know what to do.

But it’s OK not to know everything, you don’t have to be so strong. You don’t have the weight of the world in your shoulders. You’ll learn from your experiences, and ultimately you’ll be fine if you’re up for it.

Of course, some never make it, some still <b>know nothing, yet they think they know everything</b>.

Potent stuff, masterfully acted, the pain is easily shared, the emotional oppression is suffocating, literally.

3.75/5 stars.",,2024-11-10
