Sheet,Table,Column
Literary_Movements,Table_Literary_Movements,Level 1 (Era/Broad School)
Literary_Movements,Table_Literary_Movements,Level 2 (Movement)
Literary_Movements,Table_Literary_Movements,Level 3 (Sub-movement/Related)
Literary_Movements,Table_Literary_Movements,Notes / Scope Example
Literary_Movements,Table_Literary_Movements,Duplicated_Entry
Themes,Table_Themes,Category
Themes,Table_Themes,Subcategory
Themes,Table_Themes,Theme
Subjects,Table27,Name
Subjects,Table27,Description (Optional)
Keywords,Table28,Name
Publisher_Specialties,Table29,Name
Paintings,Table_Paintings,Hash_ID
Paintings,Table_Paintings,Title
Paintings,Table_Paintings,Author
Paintings,Table_Paintings,Composite_Work_Author
Paintings,Table_Paintings,Duplicated_Entry
Paintings,Table_Paintings,Art_Movement
Paintings,Table_Paintings,Orientation
Paintings,Table_Paintings,Century
Attributes,Table_Attributes,Name
Attributes,Table_Attributes,Description (Optional)
Attributes,Table_Attributes,Category (Optional)
Attributes,Table_Attributes,Duplicated_Entry
Work_Types,Table_Work_Types,Name
Work_Types,Table_Work_Types,Description
Contribution_Types,Table_Contribution_types,Name
Contribution_Types,Table_Contribution_types,Description
Contribution_Types,Table_Contribution_types,Examples of Use
Validation_Fields,Table_Score_0_5_Halves,Score
Validation_Fields,Table_Check,Check
Validation_Fields,Centuries_Table,Centuries
Validation_Fields,Table_Score_0_5_Fulls,Score
Art_Movements,Art_Movements_Table,Art_Movements
Art_Movements,Art_Movements_Table,Duplicate_Entry
Languages,Table_Languages,Hash_ID
Languages,Table_Languages,Language
Languages,Table_Languages,ISO_639-1
Languages,Table_Languages,ISO_639-1_Is_Duplicate
Languages,Table_Languages,ISO_639-2
Languages,Table_Languages,ISO_639-2_Is_Duplicate
Languages,Table_Languages,ISO_639-3
Languages,Table_Languages,ISO_639-3_Is_Duplicate
Publishing_Houses,Table_Publishing_Houses,Publishing_House
Publishing_Houses,Table_Publishing_Houses,Country
Publishing_Houses,Table_Publishing_Houses,Duplicated_Entry
Publishing_Houses,Table_Publishing_Houses,Specialties
Perfume_Houses,Table19,Name
Perfume_Houses,Table19,Country
Perfume_Houses,Table19,Duplicated_Entry
Countries_Continents,Table_Countries,Continent_Name
Countries_Continents,Table_Countries,Continent_Code
Countries_Continents,Table_Countries,Country_Name
Countries_Continents,Table_Countries,Two_Letter_Country_Code
Countries_Continents,Table_Countries,Three_Letter_Country_Code
Countries_Continents,Table_Countries,Country_Number
Hash_ID_Acronyms,Table18,Field
Hash_ID_Acronyms,Table18,Acronym
