Name,Surname,Real Name,Type,Gender,Nationality,Complete Name (Name Surname),Complete Name (Surname Name)
Alfred,Hitchcock,,"Film Director, Producer",Male,British,"Alfred, Hitchcock","Hitchcock, Alfred"
Alfred,Jarry,,"Playwright, Novelist, Poet",Male,French,"Alfred, Jarry","Jarry, Alfred"
Alfred,Kubin,,"Printmaker, Illustrator",Male,Austrian,"Alfred, Kubin","Kubin, Alfred"
Al-Ghazali,,Abu Hamid Muhammad ibn Muhammad al-Ghazali,"Philosopher, Theologian",Male,Persian,Al-Ghazali,Al-Ghazali
Alphonse,Osbert,,Painter,Male,French,"Alphonse, Osbert","Osbert, Alphonse"
Amedeo,Modigliani,,"Painter, Sculptor",Male,Italian,"Amedeo, Modigliani","Modigliani, Amedeo"
Ana Lily,Amirpour,,"Film Director, Screenwriter",Female,"Iranian, American","Ana Lily, Amirpour","Amirpour, Ana Lily"
Anaxagoras,,,Philosopher,Male,Greek,Anaxagoras,Anaxagoras
Anaximander,,,Philosopher,Male,Greek,Anaximander,Anaximander
Anaximenes,,,Philosopher,Male,Greek,Anaximenes,Anaximenes
Anders,Zorn,,Painter,Male,Swedish,"Anders, Zorn","Zorn, Anders"
André,Gide,,"Novelist, Essayist, Dramatist",Male,French,"André, Gide","Gide, André"
Andrei,Tarkovsky,,"Film Director, Screenwriter, Film Theorist",Male,Russian,"Andrei, Tarkovsky","Tarkovsky, Andrei"
Andrei,Ujică,,Film Director,Male,Romanian,"Andrei, Ujică","Ujică, Andrei"
Andrey,Zvyagintsev,,"Film Director, Screenwriter",Male,Russian,"Andrey, Zvyagintsev","Zvyagintsev, Andrey"
Andrzej,Munk,,"Film Director, Screenwriter",Male,Polish,"Andrzej, Munk","Munk, Andrzej"
Andrzej,Wajda,,"Film Director, Screenwriter",Male,Polish,"Andrzej, Wajda","Wajda, Andrzej"
Andrzej,Żuławski,,"Film Director, Writer",Male,Polish,"Andrzej, Żuławski","Żuławski, Andrzej"
Anish,Kapoor,,Sculptor,Male,"British, Indian","Anish, Kapoor","Kapoor, Anish"
Anna,Akhmatova,,Poet,Female,Russian,"Anna, Akhmatova","Akhmatova, Anna"
Anna,Politkovskaya,,"Journalist, Human Rights Activist",Female,Russian,"Anna, Politkovskaya","Politkovskaya, Anna"
Annie,Dillard,,"Essayist, Naturalist, Poet",Female,American,"Annie, Dillard","Dillard, Annie"
Anselm,Kiefer,,"Painter, Sculptor",Male,German,"Anselm, Kiefer","Kiefer, Anselm"
Antoine,de Saint-Exupéry,,"Novelist, Essayist",Male,French,"Antoine, de Saint-Exupéry","de Saint-Exupéry, Antoine"
Anton,Chekhov,,"Playwright, Short Story Writer",Male,Russian,"Anton, Chekhov","Chekhov, Anton"
Antoni,Gaudí,,"Architect, Sculptor",Male,Spanish,"Antoni, Gaudí","Gaudí, Antoni"
Antonin,Artaud,,"Playwright, Poet, Essayist, Theater Director",Male,French,"Antonin, Artaud","Artaud, Antonin"
Antonio,Gramsci,,"Philosopher, Political Theorist",Male,Italian,"Antonio, Gramsci","Gramsci, Antonio"
Ari,Aster,,"Film Director, Screenwriter",Male,American,"Ari, Aster","Aster, Ari"
Aristotle,,,Philosopher,Male,Greek,Aristotle,Aristotle
Arno,Schmidt,,"Novelist, Translator, Literary Critic",Male,German,"Arno, Schmidt","Schmidt, Arno"
Arnold,Böcklin,,Painter,Male,Swiss,"Arnold, Böcklin","Böcklin, Arnold"
Arthur,Rackham,,Illustrator,Male,British,"Arthur, Rackham","Rackham, Arthur"
Arthur,Schopenhauer,,Philosopher,Male,German,"Arthur, Schopenhauer","Schopenhauer, Arthur"
Asghar,Farhadi,,"Film Director, Screenwriter",Male,Iranian,"Asghar, Farhadi","Farhadi, Asghar"
Astrid,Lindgren,,Children's Fiction Writer,Female,Swedish,"Astrid, Lindgren","Lindgren, Astrid"
Aubrey,Beardsley,,Illustrator,Male,British,"Aubrey, Beardsley","Beardsley, Aubrey"
Audre,Lorde,,"Poet, Essayist, Feminist",Female,American,"Audre, Lorde","Lorde, Audre"
Auguste,Comte,,Philosopher,Male,French,"Auguste, Comte","Comte, Auguste"
Auguste,Rodin,,Sculptor,Male,French,"Auguste, Rodin","Rodin, Auguste"
Auguste,Villiers de l'Isle-Adam,,Symbolist Writer,Male,French,"Auguste, Villiers de l'Isle-Adam","Villiers de l'Isle-Adam, Auguste"
Augustine of Hippo,,Aurelius Augustinus,"Philosopher, Theologian",Male,"Roman, North African",Augustine of Hippo,Augustine of Hippo
Austin Osman,Spare,,"Painter, Occultist",Male,British,"Austin Osman, Spare","Spare, Austin Osman"
Averroes,,Ibn Rushd,"Philosopher, Physician",Male,Andalusian,Averroes,Averroes
Avicenna,,Ibn Sina,"Philosopher, Physician",Male,Persian,Avicenna,Avicenna
B.R.,Yeager,,Novelist,Male,American,"B.R., Yeager","Yeager, B.R."
Balthus,,Balthasar Klossowski de Rola,Painter,Male,"French, Polish",Balthus,Balthus
Barbara,Ehrenreich,,"Journalist, Political Activist",Female,American,"Barbara, Ehrenreich","Ehrenreich, Barbara"
Barbara,Tuchman,,"Historian, Journalist",Female,American,"Barbara, Tuchman","Tuchman, Barbara"
Barnett,Newman,,Painter,Male,American,"Barnett, Newman","Newman, Barnett"
Baruch,Spinoza,,Philosopher,Male,Dutch,"Baruch, Spinoza","Spinoza, Baruch"
Beksinski,Zdzislaw,,Painter,Male,Polish,"Beksinski, Zdzislaw","Zdzislaw, Beksinski"
Bela,Čikoš Sesija,,Painter,Male,Croatian,"Bela, Čikoš Sesija","Čikoš Sesija, Bela"
Béla,Tarr,,"Film Director, Screenwriter",Male,Hungarian,"Béla, Tarr","Tarr, Béla"
bell,hooks,Gloria Jean Watkins,"Philosopher, Feminist, Social Activist",Female,American,"bell, hooks","hooks, bell"
Benjamín,Labatut,,Novelist,Male,Chilean,"Benjamín, Labatut","Labatut, Benjamín"
Benny,Safdie,,"Film Director, Actor, Screenwriter",Male,American,"Benny, Safdie","Safdie, Benny"
Bernard,Stiegler,,Philosopher,Male,French,"Bernard, Stiegler","Stiegler, Bernard"
Bernardo,Bertolucci,,"Film Director, Screenwriter",Male,Italian,"Bernardo, Bertolucci","Bertolucci, Bernardo"
Berthe,Morisot,,Painter,Female,French,"Berthe, Morisot","Morisot, Berthe"
Bertrand,Russell,,"Philosopher, Mathematician",Male,British,"Bertrand, Russell","Russell, Bertrand"
Bi,Gan,,"Film Director, Screenwriter",Male,Chinese,"Bi, Gan","Gan, Bi"
Blaise,Pascal,,"Philosopher, Mathematician, Physicist",Male,French,"Blaise, Pascal","Pascal, Blaise"
Boethius,,Anicius Manlius Severinus Boethius,Philosopher,Male,Roman,Boethius,Boethius
Bohumil,Hrabal,,Novelist,Male,Czech,"Bohumil, Hrabal","Hrabal, Bohumil"
Bong,Joon-ho,,"Film Director, Screenwriter",Male,South Korean,"Bong, Joon-ho","Joon-ho, Bong"
Boris,Pasternak,,"Novelist, Poet, Translator",Male,Russian,"Boris, Pasternak","Pasternak, Boris"
Bram,Stoker,,Novelist,Male,Irish,"Bram, Stoker","Stoker, Bram"
Brandon,Cronenberg,,"Film Director, Screenwriter",Male,Canadian,"Brandon, Cronenberg","Cronenberg, Brandon"
Bruno,Dumont,,"Film Director, Screenwriter",Male,French,"Bruno, Dumont","Dumont, Bruno"
Bruno,Latour,,"Philosopher, Anthropologist",Male,French,"Bruno, Latour","Latour, Bruno"
Bruno,Schulz,,"Short Story Writer, Graphic Artist",Male,Polish,"Bruno, Schulz","Schulz, Bruno"
Byung-Chul,Han,,"Philosopher, Cultural Theorist",Male,"Korean, German","Byung-Chul, Han","Han, Byung-Chul"
Cameron,Menzies,,"Artist, Photographer",Female,British,"Cameron, Menzies","Menzies, Cameron"
Camille,Claudel,,Sculptor,Female,French,"Camille, Claudel","Claudel, Camille"
Camille,Pissarro,,Painter,Male,"Danish, French","Camille, Pissarro","Pissarro, Camille"
Canaletto,,Giovanni Antonio Canal,Painter,Male,Italian,Canaletto,Canaletto
Caravaggio,,Michelangelo Merisi,Painter,Male,Italian,Caravaggio,Caravaggio
Carey,McWilliams,,"Journalist, Editor, Lawyer",Male,American,"Carey, McWilliams","McWilliams, Carey"
Carl Theodor,Dreyer,,"Film Director, Screenwriter",Male,Danish,"Carl Theodor, Dreyer","Dreyer, Carl Theodor"
Carl,Jung,,"Philosopher, Psychoanalyst",Male,Swiss,"Carl, Jung","Jung, Carl"
Carl,Sagan,,"Science Writer, Astronomer, Astrophysicist",Male,American,"Carl, Sagan","Sagan, Carl"
Carl,Strathmann,,Painter,Male,German,"Carl, Strathmann","Strathmann, Carl"
Carlos,Castaneda,,"Anthropologist, Writer",Male,"Peruvian, American","Carlos, Castaneda","Castaneda, Carlos"
Carlos,Reygadas,,"Film Director, Screenwriter",Male,Mexican,"Carlos, Reygadas","Reygadas, Carlos"
Carlos,Schwabe,,Painter,Male,"Swiss, German","Carlos, Schwabe","Schwabe, Carlos"
Carson,McCullers,,"Novelist, Short Story Writer",Female,American,"Carson, McCullers","McCullers, Carson"
Caspar David,Friedrich,,Painter,Male,German,"Caspar David, Friedrich","Friedrich, Caspar David"
Catherine,Keller,,"Philosopher, Theologian",Female,American,"Catherine, Keller","Keller, Catherine"
Catherine,Malabou,,Philosopher,Female,French,"Catherine, Malabou","Malabou, Catherine"
Céline,Sciamma,,"Film Director, Screenwriter",Female,French,"Céline, Sciamma","Sciamma, Céline"
Chantal,Akerman,,"Film Director, Artist",Female,Belgian,"Chantal, Akerman","Akerman, Chantal"
Chan-wook,Park,,"Film Director, Screenwriter",Male,South Korean,"Chan-wook, Park","Park, Chan-wook"
Charles Sanders,Peirce,,"Philosopher, Logician",Male,American,"Charles Sanders, Peirce","Peirce, Charles Sanders"
Charles,Baudelaire,,"Poet, Essayist, Critic",Male,French,"Charles, Baudelaire","Baudelaire, Charles"
Charles,Bukowski,,"Poet, Novelist",Male,"German, American","Charles, Bukowski","Bukowski, Charles"
Charles,Chaplin,Charles Spencer Chaplin,"Film Director, Actor, Screenwriter",Male,British,"Charles, Chaplin","Chaplin, Charles"
Charles,Filiger,,Painter,Male,French,"Charles, Filiger","Filiger, Charles"
Charles,Maturin,,"Gothic Novelist, Playwright",Male,Irish,"Charles, Maturin","Maturin, Charles"
Charles,Taylor,,Philosopher,Male,Canadian,"Charles, Taylor","Taylor, Charles"
"Charles-Louis de Secondat, Baron de",Montesquieu,,"Philosopher, Political Theorist",Male,French,"Charles-Louis de Secondat, Baron de, Montesquieu","Montesquieu, Charles-Louis de Secondat, Baron de"
Charlotte,Brontë,,"Novelist, Poet",Female,English,"Charlotte, Brontë","Brontë, Charlotte"
Charlotte,Dacre,Rosa Matilda,Gothic Novelist,Female,English,"Charlotte, Dacre","Dacre, Charlotte"
Chinua,Achebe,,"Novelist, Poet, Critic",Male,Nigerian,"Chinua, Achebe","Achebe, Chinua"
Chloé,Zhao,,"Film Director, Screenwriter",Female,Chinese,"Chloé, Zhao","Zhao, Chloé"
Chris,Marker,Christian François Bouche-Villeneuve,"Film Director, Writer",Male,French,"Chris, Marker","Marker, Chris"
Christopher,Nolan,,"Film Director, Screenwriter",Male,"British, American","Christopher, Nolan","Nolan, Christopher"
Cimabue,,Cenni di Pepo,Painter,Male,Italian,Cimabue,Cimabue
Claire,Denis,,"Film Director, Screenwriter",Female,French,"Claire, Denis","Denis, Claire"
Clarice,Lispector,,"Novelist, Short Story Writer",Female,Brazilian,"Clarice, Lispector","Lispector, Clarice"
Claude,Monet,,Painter,Male,French,"Claude, Monet","Monet, Claude"
Comte de,Lautréamont,Isidore Lucien Ducasse,Poet,Male,French,"Comte de, Lautréamont","Lautréamont, Comte de"
Cormac,McCarthy,,"Novelist, Playwright",Male,American,"Cormac, McCarthy","McCarthy, Cormac"
Cornel,West,,"Philosopher, Political Activist",Male,American,"Cornel, West","West, Cornel"
Cornelius,Castoriadis,,"Philosopher, Psychoanalyst",Male,"Greek, French","Cornelius, Castoriadis","Castoriadis, Cornelius"
Cornelius,Tacitus,,"Historian, Senator",Male,Roman,"Cornelius, Tacitus","Tacitus, Cornelius"
Cristi,Puiu,,"Film Director, Screenwriter",Male,Romanian,"Cristi, Puiu","Puiu, Cristi"
Cy,Twombly,,"Painter, Sculptor",Male,American,"Cy, Twombly","Twombly, Cy"
Damián,Szifron,,"Film Director, Screenwriter",Male,Argentine,"Damián, Szifron","Szifron, Damián"
Damien,Hirst,,"Conceptual Artist, Painter, Sculptor",Male,British,"Damien, Hirst","Hirst, Damien"
Daniel,Dennett,,"Philosopher, Cognitive Scientist",Male,American,"Daniel, Dennett","Dennett, Daniel"
Dante Gabriel,Rossetti,,"Painter, Poet",Male,British,"Dante Gabriel, Rossetti","Rossetti, Dante Gabriel"
Dante,Alighieri,,Poet,Male,Italian,"Dante, Alighieri","Alighieri, Dante"
Daphne,du Maurier,,"Novelist, Playwright, Short Story Writer",Female,British,"Daphne, du Maurier","du Maurier, Daphne"
Darren,Aronofsky,,"Film Director, Screenwriter",Male,American,"Darren, Aronofsky","Aronofsky, Darren"
David,Cronenberg,,"Film Director, Screenwriter, Writer",Male,Canadian,"David, Cronenberg","Cronenberg, David"
David,Fincher,,Film Director,Male,American,"David, Fincher","Fincher, David"
David,Foster Wallace,,"Novelist, Short Story Writer, Essayist",Male,American,"David, Foster Wallace","Foster Wallace, David"
David,Hockney,,"Painter, Photographer",Male,British,"David, Hockney","Hockney, David"
David,Hume,,"Philosopher, Historian",Male,Scottish,"David, Hume","Hume, David"
David,Lynch,,"Film Director, Visual Artist",Male,American,"David, Lynch","Lynch, David"
Democritus,,,Philosopher,Male,Greek,Democritus,Democritus
Denis,Villeneuve,,"Film Director, Screenwriter",Male,Canadian,"Denis, Villeneuve","Villeneuve, Denis"
Diogenes,,,Philosopher,Male,Greek,Diogenes,Diogenes
Dion,Fortune,Violet Mary Firth,"Occultist, Novelist",Female,British,"Dion, Fortune","Fortune, Dion"
Djuna,Barnes,,"Novelist, Playwright, Poet",Female,American,"Djuna, Barnes","Barnes, Djuna"
Donatello,,Donato di Niccolò di Betto Bardi,Sculptor,Male,Italian,Donatello,Donatello
Donna,Haraway,,"Philosopher, Science Studies Scholar",Female,American,"Donna, Haraway","Haraway, Donna"
Doris,Lessing,,"Novelist, Poet, Playwright, Biographer",Female,"British, Zimbabwean","Doris, Lessing","Lessing, Doris"
Dorothea,Tanning,,Painter,Female,American,"Dorothea, Tanning","Tanning, Dorothea"
Dorothy,Parker,,"Poet, Short Story Writer, Critic",Female,American,"Dorothy, Parker","Parker, Dorothy"
Duns Scotus,,John Duns,"Philosopher, Theologian",Male,Scottish,Duns Scotus,Duns Scotus
Dziga,Vertov,Denis Kaufman,"Film Director, Documentary Pioneer",Male,Soviet,"Dziga, Vertov","Vertov, Dziga"
E.T.A.,Hoffmann,,"Writer, Composer, Artist",Male,German,"E.T.A., Hoffmann","Hoffmann, E.T.A."
Ebrahim,Golestan,,"Film Director, Writer",Male,Iranian,"Ebrahim, Golestan","Golestan, Ebrahim"
Edgar Allan,Poe,,"Short Story Writer, Poet, Critic",Male,American,"Edgar Allan, Poe","Poe, Edgar Allan"
Edgar,Degas,,"Painter, Sculptor",Male,French,"Edgar, Degas","Degas, Edgar"
Edith,Stein,,"Philosopher, Phenomenologist",Female,German,"Edith, Stein","Stein, Edith"
Edmund,Burke,,"Philosopher, Statesman",Male,Irish,"Edmund, Burke","Burke, Edmund"
Edmund,Dulac,,Illustrator,Male,"French, British","Edmund, Dulac","Dulac, Edmund"
Edmund,Husserl,,Philosopher,Male,German,"Edmund, Husserl","Husserl, Edmund"
Edmund,Spenser,,Poet,Male,English,"Edmund, Spenser","Spenser, Edmund"
Edmund,Sullivan,,Illustrator,Male,British,"Edmund, Sullivan","Sullivan, Edmund"
Edna,O'Brien,,"Novelist, Short Story Writer, Playwright",Female,Irish,"Edna, O'Brien","O'Brien, Edna"
Edouard,Levé,,"Writer, Photographer, Artist",Male,French,"Edouard, Levé","Levé, Edouard"
Édouard,Manet,,Painter,Male,French,"Édouard, Manet","Manet, Édouard"
Edvard,Munch,,Painter,Male,Norwegian,"Edvard, Munch","Munch, Edvard"
Edward R.,Murrow,,"Broadcast Journalist, War Correspondent",Male,American,"Edward R., Murrow","Murrow, Edward R."
Edward,Burne-Jones,,Painter,Male,British,"Edward, Burne-Jones","Burne-Jones, Edward"
Edward,Gibbon,,Historian,Male,English,"Edward, Gibbon","Gibbon, Edward"
Edward,Hopper,,Painter,Male,American,"Edward, Hopper","Hopper, Edward"
Edward,Munch,,Painter,Male,Norwegian,"Edward, Munch","Munch, Edward"
Edward,Yang,,"Film Director, Screenwriter",Male,Taiwanese,"Edward, Yang","Yang, Edward"
El,Greco,Doménikos Theotokópoulos,"Painter, Sculptor, Architect",Male,"Greek, Spanish","El, Greco","Greco, El"
Elem,Klimov,,"Film Director, Screenwriter",Male,Soviet,"Elem, Klimov","Klimov, Elem"
Elena,Ferrante,,Novelist,Female,Italian,"Elena, Ferrante","Ferrante, Elena"
Elias,Canetti,,"Novelist, Playwright, Memoirist, Essayist",Male,"Bulgarian, British","Elias, Canetti","Canetti, Elias"
Elihu,Vedder,,Painter,Male,American,"Elihu, Vedder","Vedder, Elihu"
Eliphas,Lévi,Alphonse Louis Constant,"Occultist, Magician",Male,French,"Eliphas, Lévi","Lévi, Eliphas"
Élisabeth,Sonrel,,Painter,Female,French,"Élisabeth, Sonrel","Sonrel, Élisabeth"
Élisabeth,Vigée Le Brun,,Painter,Female,French,"Élisabeth, Vigée Le Brun","Vigée Le Brun, Élisabeth"
Elizabeth,Anscombe,,Philosopher,Female,British,"Elizabeth, Anscombe","Anscombe, Elizabeth"
Elizabeth,Gaskell,,"Novelist, Short Story Writer, Biographer",Female,British,"Elizabeth, Gaskell","Gaskell, Elizabeth"
Elizabeth,Siddal,,"Painter, Poet, Model",Female,British,"Elizabeth, Siddal","Siddal, Elizabeth"
Emil,Cioran,,"Philosopher, Essayist",Male,"Romanian, French","Emil, Cioran","Cioran, Emil"
Emil,Nolde,,Painter,Male,"German, Danish","Emil, Nolde","Nolde, Emil"
Emilie,Mediz-Pelikan,,Painter,Female,Austrian,"Emilie, Mediz-Pelikan","Mediz-Pelikan, Emilie"
Emily,Brontë,,"Novelist, Poet",Female,English,"Emily, Brontë","Brontë, Emily"
Emily,Dickinson,,Poet,Female,American,"Emily, Dickinson","Dickinson, Emily"
Emma,Sandys,,Painter,Female,British,"Emma, Sandys","Sandys, Emma"
Emmanuel,Lévinas,,Philosopher,Male,"Lithuanian, French","Emmanuel, Lévinas","Lévinas, Emmanuel"
Emmanuel,Swedenborg,,"Theologian, Philosopher, Mystic",Male,Swedish,"Emmanuel, Swedenborg","Swedenborg, Emmanuel"
Empedocles,,,"Philosopher, Poet",Male,Greek,Empedocles,Empedocles
Epictetus,,,Philosopher,Male,Greek,Epictetus,Epictetus
Epicurus,,,Philosopher,Male,Greek,Epicurus,Epicurus
Eric,Hobsbawm,,"Historian, Marxist Writer",Male,British,"Eric, Hobsbawm","Hobsbawm, Eric"
Éric,Rohmer,Maurice Schérer,"Film Director, Film Critic",Male,French,"Éric, Rohmer","Rohmer, Éric"
Erich,Fromm,,"Social Psychologist, Psychoanalyst",Male,"German, American","Erich, Fromm","Fromm, Erich"
Ernest,Hemingway,,"Novelist, Short Story Writer",Male,American,"Ernest, Hemingway","Hemingway, Ernest"
Ernesto,Sabato,,"Novelist, Essayist",Male,Argentine,"Ernesto, Sabato","Sabato, Ernesto"
Ernst,Bloch,,Philosopher,Male,German,"Ernst, Bloch","Bloch, Ernst"
Ernst,Fuchs,,Painter,Male,Austrian,"Ernst, Fuchs","Fuchs, Ernst"
Ernst,Jünger,,"Novelist, War Memoirist, Entomologist",Male,German,"Ernst, Jünger","Jünger, Ernst"
Eskil,Vogt,,"Film Director, Screenwriter",Male,Norwegian,"Eskil, Vogt","Vogt, Eskil"
Eugène,Delacroix,,Painter,Male,French,"Eugène, Delacroix","Delacroix, Eugène"
Eugene,Thacker,,Philosopher,Male,American,"Eugene, Thacker","Thacker, Eugene"
Euripides,,,Playwright,Male,Greek,Euripides,Euripides
Eva,Hesse,,Sculptor,Female,"German, American","Eva, Hesse","Hesse, Eva"
Evelyn De,Morgan,,Painter,Female,British,"Evelyn De, Morgan","Morgan, Evelyn De"
Evelyn,Underhill,,"Mystical Writer, Theologian",Female,British,"Evelyn, Underhill","Underhill, Evelyn"
F. Scott,Fitzgerald,,"Novelist, Short Story Writer",Male,American,"F. Scott, Fitzgerald","Fitzgerald, F. Scott"
F.W.,Murnau,Friedrich Wilhelm Plumpe,Film Director,Male,German,"F.W., Murnau","Murnau, F.W."
Federico,Campagna,,Philosopher,Male,Italian,"Federico, Campagna","Campagna, Federico"
Federico,Fellini,,"Film Director, Screenwriter",Male,Italian,"Federico, Fellini","Fellini, Federico"
Federico,García Lorca,,"Poet, Playwright",Male,Spanish,"Federico, García Lorca","García Lorca, Federico"
Félicien,Rops,,"Painter, Printmaker",Male,Belgian,"Félicien, Rops","Rops, Félicien"
Félix,Guattari,,"Philosopher, Psychoanalyst",Male,French,"Félix, Guattari","Guattari, Félix"
Fernand,Braudel,,Historian,Male,French,"Fernand, Braudel","Braudel, Fernand"
Fernand,Khnopff,,Painter,Male,Belgian,"Fernand, Khnopff","Khnopff, Fernand"
Fernanda,Melchor,,"Novelist, Journalist",Female,Mexican,"Fernanda, Melchor","Melchor, Fernanda"
Fernando,Meirelles,,Film Director,Male,Brazilian,"Fernando, Meirelles","Meirelles, Fernando"
Fernando,Pessoa,,"Poet, Writer, Literary Critic",Male,Portuguese,"Fernando, Pessoa","Pessoa, Fernando"
Fidus,,Hugo Höppener,"Painter, Illustrator",Male,German,Fidus,Fidus
Flannery,O'Connor,,"Short Story Writer, Novelist",Female,American,"Flannery, O'Connor","O'Connor, Flannery"
Francis,Bacon,,"Painter, Philosopher, Statesman",Male,English,"Francis, Bacon","Bacon, Francis"
Francis,Danby,,Painter,Male,Irish,"Francis, Danby","Danby, Francis"
Francis,Ford Coppola,,"Film Director, Producer, Screenwriter",Male,American,"Francis, Ford Coppola","Ford Coppola, Francis"
Francisco,Goya,,"Painter, Printmaker",Male,Spanish,"Francisco, Goya","Goya, Francisco"
François,Jullien,,"Philosopher, Sinologist",Male,French,"François, Jullien","Jullien, François"
François,Laruelle,,Philosopher,Male,French,"François, Laruelle","Laruelle, François"
François,Rabelais,,"Writer, Physician, Humanist",Male,French,"François, Rabelais","Rabelais, François"
François,Truffaut,,"Film Director, Film Critic, Actor",Male,French,"François, Truffaut","Truffaut, François"
Françoise,Sagan,,Novelist,Female,French,"Françoise, Sagan","Sagan, Françoise"
Frank,Auerbach,,Painter,Male,British,"Frank, Auerbach","Auerbach, Frank"
Frank,Herbert,,Novelist,Male,American,"Frank, Herbert","Herbert, Frank"
Frank,Stella,,"Painter, Sculptor",Male,American,"Frank, Stella","Stella, Frank"
Frantisek,Kupka,,Painter,Male,Czech,"Frantisek, Kupka","Kupka, Frantisek"
František,Vláčil,,"Film Director, Screenwriter",Male,Czech,"František, Vláčil","Vláčil, František"
Franz,Bardon,,"Occultist, Hermetic Philosopher",Male,Czech,"Franz, Bardon","Bardon, Franz"
Franz,Kafka,,"Novelist, Short Story Writer",Male,Czech,"Franz, Kafka","Kafka, Franz"
Franz,Kline,,Painter,Male,American,"Franz, Kline","Kline, Franz"
Franz,Rosenzweig,,"Philosopher, Theologian",Male,German,"Franz, Rosenzweig","Rosenzweig, Franz"
Franz,Sedlacek,,Painter,Male,Austrian,"Franz, Sedlacek","Sedlacek, Franz"
